Process,Brand,Model,Polymer,Feed,Type,Flux,MWCO,Rejection
RO,Toray,70AC,Polyamide,Brackish,"Low Energy, High Rejection, Cl Resistant",30.7/225,RO,99.78% NaCl
RO,Toray,82V,Polyamide,Sea,"Low Energy, High Rejection",27/798,RO,99.73% NaCl
RO,DOW,SW30HR,Polyamide,Sea,High Rejection,17-24/800,RO,99.60% NaCl
RO,DOW,BW30,Polyamide,Brackish,Standard,26/255,RO,99.50% NaCl
RO,DOW,BW30FR,Polyamide,Brackish,Fouling Resistant,26/255,RO,99.50% NaCl
RO,DOW,SW30XLE,Polyamide,Sea,Extra Low Energy,23-29/800,RO,99.50% NaCl
RO,GE,AD,Polyamide,Sea,High Rejection,15/800,RO,99.50% NaCl
RO,GE,AG,Polyamide,Brackish,Reactive Si Removal,26/225,RO,99.50% NaCl
RO,TriSep,ACM1,Polyamide,Brackish,Tight,25/225,RO,99.50% NaCl
RO,TriSep,ACM2,Polyamide,Brackish,Standard,30/225,RO,99.50% NaCl
RO,TriSep,X201,Polyamide-urea,"Industrial, Wastewater",Fouling Resistant,30/225,RO,99.50% NaCl
RO,Toray,72U,Polyamide,Brackish,Extra Low Pressure,29.5/109,RO,99.40% NaCl
RO,TriSep,ACM3,Polyamide,Brackish,Low Pressure,35/225,RO,99.30% NaCl
RO,TriSep,ACM4,Polyamide,Brackish,"High Flux, Low Pressure",30/150,RO,99.20% NaCl
RO,DOW,BW30LE,Polyamide,Brackish,Low Energy,37-46/225,RO,99.00% NaCl
RO,GE,AK,Polyamide,Brackish,Low Energy,26/115,RO,99.00% NaCl
RO,Toray,70HA,Polyamide,Brackish,Extra Low Energy,23.3/73,RO,99.00% NaCl
RO,GE,SE,Thin Film,"Industrial, Wastewater","High Pressure, Cl Resistant",22/425,RO,98.90% NaCl
RO,DOW,XLE,Polyamide,Brackish,Extra Low Energy,33-41/125,RO,98.70% NaCl
RO,TriSep,ACM5,Polyamide,Brackish,"High Flux, Low Pressure",30/110,RO,98.50% NaCl
RO,GE,SG,Thin Film,"Industrial, Wastewater",Cl Resistant,22/225,RO,98.20% NaCl
RO,GE,CE,Cellulose Acetate,Brackish,Cl Resistant,23.5/420,RO,97.00% NaCl
RO,TriSep,SB50,CA Blend,"Industrial, Wastewater",Cl Resistant,30/420,RO,95.00% NaCl
NF,TriSep,SB90,CA Blend,"Foods, Beverages",Cl Resistant,30/225,150,97/85% MgSO4/NaCl
NF,TriSep,TS80,Polyamide,"Industrial, Foods, Wastewater",Softening,20/110,150,99/80NA90% MgSO4/NaCl
NF,TriSep,TS40,Polypiperazine-amide,"Industrial, Foods, Wastewater",Process,20/110,200,99/40NA60% MgSO4/NaCl
NF,GE,DK,Thin Film,"Industrial, Foods",High Rejection,22/100,150-300,96% MgSO4
NF,GE,DL,Thin Film,"Industrial, Foods","Low Energy, Low Pressure",28/220,150-300,98% MgSO4
